"source_business_id","name","full_address","street_address","city","zip","municipality","state","country","timezone","phone_1","phone_standard_format","email_from_website","website","domain","claimed_google_my_business","reviews_count","average_rating","business_status","hours","latitude","longitude","plus_code","place_id","gmb_url","cid","google_knowledge_url","image_url","review_url","facebook_url","linkedin_url","twitter_url","instagram_url","youtube_url","meta_description","kgmid"
"ChIJJdqYMSrF54gR9cVEMqRp4j4","Genesis Heart MedSpa","1507 Buenos Aires Blvd  The Villages  FL 32159  United States","1507 Buenos Aires Blvd","The Villages","32159","United States","Florida","US","America/New_York","+13523997060","(352) 399-7060","info@villahealth.org","http://villahealthcenter.com/","villahealthcenter.com","No","53","5","open","Tuesday, 9?AM-5?PM; Wednesday, 9?AM-5?PM; Thursday, 9?AM-5?PM; Friday, 9?AM-5?PM; Saturday, Closed; Sunday, Closed; Monday, 9?AM-5?PM; ","Lat 28.953383","Lng -81.9620886","76WWX23Q+953","ChIJJdqYMSrF54gR9cVEMqRp4j4","https://www.google.com/maps/place/?q=place_id:ChIJJdqYMSrF54gR9cVEMqRp4j4","4531300329027061237","https://www.google.com/search?kgmid=/g/11h7g4xd06","https://lh5.googleusercontent.com/p/AF1QipP50HNgc0NYXuGjrZaI1Du4bPcxaJ_EvVhFDn2i","https://search.google.com/local/reviews?placeid=ChIJJdqYMSrF54gR9cVEMqRp4j4&q=wellness+spa+in+The+Villages,+Florida,+USA&authuser=0&hl=en","https://www.facebook.com/VillaHealthCenter/","","","","","Quality CareWhen You Need ItWe are honored that you have chosen us as your healthcare provider.Our ProvidersWe Love Takingcare of your healthWe are a rapidly growing medical practice that is spread through Central Florida. See if we're located in your area.Get In Touch Previous Next Pulmonary FunctionTesting Cardio pulmonary Exercise Testing Injections andIV Therapies AllergyTesting…","/g/11h7g4xd06"
"ChIJ8Wbmk0Av54gRk_hWjEm4TFk","33 Micro Spa","1852 Renzulli Rd  New Smyrna Beach  FL 32168  United States","1852 Renzulli Rd","New Smyrna Beach","32168","United States","Florida","US","America/New_York","+14072606772","(407) 260-6772","","http://33microspa.com/","33microspa.com","No","1","5","open","Wednesday, 10?AM-6?PM; Thursday, 10?AM-6?PM; Friday, Closed; Saturday, 10?AM-6?PM; Sunday, Closed; Monday, 10?AM-6?PM; Tuesday, Closed; ","Lat 29.0153797","Lng -80.94458639999999","76XX2384+553","ChIJ8Wbmk0Av54gRk_hWjEm4TFk","https://www.google.com/maps/place/?q=place_id:ChIJ8Wbmk0Av54gRk_hWjEm4TFk","6434720593632229523","https://www.google.com/search?kgmid=/g/11mv_510rw","https://lh5.googleusercontent.com/p/lQ0cHk8I3GuVU2LMsYNWPw","https://search.google.com/local/reviews?placeid=ChIJ8Wbmk0Av54gRk_hWjEm4TFk&q=wellness+spa+in+New+Smyrna+Beach,+Florida,+USA&authuser=0&hl=en","https://www.facebook.com/SpaoftheFuture/","","","https://www.instagram.com/33microspa/","","At 33 Tanning & Micro Spa, you have access to the highest quality spa and tanning services without having to pay those ridiculous rates! Additionally, you are greeted with the most friendly and knowledgeable staff who will ensure your experience is exactly what you expect. Spa and Tanning Services Include: -State of the Art UV Tanning Beds that will allow you to select your own level. -Versa Spa Spray Tanning takes only 60 seconds to achieve the color you are looking for OR a Custom Airbrush Spray Tan which is applied by a trained Technician with over 15 years of experience - Hydration Spa Capsule to moisturize your body from head to toe, all while burning calories and extending your tan. - iSlim Infrared Heat Body Wraps to help you lose that unwanted body fat and cellulite all while experience a full body detox, muscle pain and joint relief, all while boosting your immune system. - LED Phototherapy Devices to help you reduce acne, reduce fine lines and wrinkles, and improve uneven pigmentation.-Massage Therapy Services-Microblading, Eyelash Extensions, Lifts and Tinting- Botox and Fillers by a MD - Teeth Whitening to help you achieve the most amazing results without having to go see a dentist.","/g/11mv_510rw"
"ChIJq6raH3e35YgR7QViBXr7fc8","Parisian Medi Spa","RIVERSIDE BLDG  1045 Riverside Ave  Jacksonville  FL 32204  United States","RIVERSIDE BLDG","Jacksonville","32204","1045 Riverside Ave","Florida","US","America/New_York","+19045804950","(904) 580-4950","","http://parisianmedispa.com/contact/","parisianmedispa.com","No","5","5","open","Tuesday, 11:30?AM-8:30?PM; Wednesday, 11:30?AM-8:30?PM; Thursday, 11:30?AM-8:30?PM; Friday, 11:30?AM-5?PM; Saturday, 9?AM-2?PM; Sunday, Closed; Monday, 5:30-8:30?PM; ","Lat 30.313177","Lng -81.6774934","862W887F+72C","ChIJq6raH3e35YgR7QViBXr7fc8","https://www.google.com/maps/place/?q=place_id:ChIJq6raH3e35YgR7QViBXr7fc8","14951382839434806765","https://www.google.com/search?kgmid=/g/11h5q87y7x","https://lh5.googleusercontent.com/p/AF1QipOnhM6opP589jWU6CVxJ71zr-rjaSc-ij-9HzJr","https://search.google.com/local/reviews?placeid=ChIJq6raH3e35YgR7QViBXr7fc8&q=Medical+spa+in+Jacksonville,+Florida,+USA&authuser=0&hl=en","","","","","","","/g/11h5q87y7x"
"ChIJewJOOdG-5YgR2uiZU73UmaU","Jennie Evans Natural Med Spa","23 Jackson Ave N  Jacksonville  FL 32220  United States","23 Jackson Ave N","Jacksonville","32220","United States","Florida","US","America/New_York","+19046959135","(904) 695-9135","","http://www.naturalmedspa.com/","naturalmedspa.com","No","11","5","open","Tuesday, 9?AM-6?PM; Wednesday, 9?AM-6?PM; Thursday, 9?AM-6?PM; Friday, 9?AM-6?PM; Saturday, 9?AM-6?PM; Sunday, Closed; Monday, Closed; ","Lat 30.3231288","Lng -81.7856602","862W86F7+7P4","ChIJewJOOdG-5YgR2uiZU73UmaU","https://www.google.com/maps/place/?q=place_id:ChIJewJOOdG-5YgR2uiZU73UmaU","11932802597311342810","https://www.google.com/search?kgmid=/g/11ckqsxz8k","https://lh5.googleusercontent.com/p/LMm4CoTnNby0n0nBogYeqg","https://search.google.com/local/reviews?placeid=ChIJewJOOdG-5YgR2uiZU73UmaU&q=Medical+spa+in+Jacksonville,+Florida,+USA&authuser=0&hl=en","https://www.facebook.com/JennieEvansNaturalMedSpa/","","","https://www.instagram.com/explore/locations/467127299/jennie-evans-natural-med-spa/","","Jennie Evans Natural Med Spa is a full-service spa offering massage, Spray-Tans,? Facials, Chemical Peels and Microdermabrasion. We also have an in-house hair specialist. ","/g/11ckqsxz8k"
"ChIJvx8bsqFJ5IgRZqqxDxAJbF4","Mana Medical","611 4th St N  Jacksonville Beach  FL 32250  United States","611 4th St N","Jacksonville Beach","32250","United States","Florida","US","America/New_York","+19048536996","(904) 853-6996","","https://www.manamedicalspa.com/","manamedicalspa.com","No","4","4","open","Tuesday, 1:30-8?PM; Wednesday, 1:30-8?PM; Thursday, 1:30-8?PM; Friday, 12?AM-7?PM; Saturday, Closed; Sunday, Closed; Monday, Closed; ","Lat 30.293907299999997","Lng -81.3939046","862W7JV4+HC9","ChIJvx8bsqFJ5IgRZqqxDxAJbF4","https://www.google.com/maps/place/?q=place_id:ChIJvx8bsqFJ5IgRZqqxDxAJbF4","6803823101637405286","https://www.google.com/search?kgmid=/g/1v5fsqm3","https://lh5.googleusercontent.com/p/3ABa5k-dohrZ9XwwGTkEzw","https://search.google.com/local/reviews?placeid=ChIJvx8bsqFJ5IgRZqqxDxAJbF4&q=Medical+spa+in+Jacksonville,+Florida,+USA&authuser=0&hl=en","","","","","","","/g/1v5fsqm3"
"ChIJHRaPA7X17IgRctvSt0myIkQ","WCB Spa & Body","516 W Orange Ave B  Tallahassee  FL 32310  United States","516 W Orange Ave B","Tallahassee","32310","United States","Florida","US","America/New_York","+18504049962","(850) 404-9962","","http://wcb-spa-body.square.site/","wcb-spa-body.square.site","No","","","open","Tuesday, 10?AM-6?PM; Wednesday, 10?AM-6?PM; Thursday, 10?AM-6?PM; Friday, 10?AM-6?PM; Saturday, 10?AM-6?PM; Sunday, Closed; Monday, 10?AM-6?PM; ","Lat 30.4127904","Lng -84.2906852","862QCP75+4P8","ChIJHRaPA7X17IgRctvSt0myIkQ","https://www.google.com/maps/place/?q=place_id:ChIJHRaPA7X17IgRctvSt0myIkQ","4909682573473667954","https://www.google.com/search?kgmid=/g/11rtgqzb09","https://lh5.googleusercontent.com/p/XAm1om47ej8aSRNYwMDGJQ","","","","","","","","/g/11rtgqzb09"
"ChIJv5RidvuDk4gRbmhb8UsZFew","Northside Day Spa","2101 Northside Dr  Panama City  FL 32405  United States","2101 Northside Dr","Panama City","32405","United States","Florida","US","America/Chicago","+18508320021","(850) 832-0021","","https://www.driftspapc.com/","driftspapc.com","No","6","4.7","open","","Lat 30.187356899999997","Lng -85.6767393","862P58PF+W8R","ChIJv5RidvuDk4gRbmhb8UsZFew","https://www.google.com/maps/place/?q=place_id:ChIJv5RidvuDk4gRbmhb8UsZFew","17011530981424457838","https://www.google.com/search?kgmid=/g/11g8cpv75r","https://lh5.googleusercontent.com/p/i45pApsHxxdQSL24BCgJFA","https://search.google.com/local/reviews?placeid=ChIJv5RidvuDk4gRbmhb8UsZFew&q=wellness+spa+in+Lynn+Haven,+Florida,+USA&authuser=0&hl=en","https://www.facebook.com/driftspapc/","","","https://www.instagram.com/driftspapanamacity/","","Discover the ultimate relaxation experience at Drift Spa in Panama City.  Our speciality is facials, waxing, and lash extensions.  Book your appointment on line today.","/g/11g8cpv75r"
"ChIJgdUrMACJk4gRpRUfZSI0SQE","AQUARIUS SPA","11127 Front Beach Rd  Panama City  FL 32407  United States","11127 Front Beach Rd","Panama City","32407","United States","Florida","US","America/Chicago","+18502341111","(850) 234-1111","","https://www.hipcbeach.com/holiday-inn-resort-panama-city-beach-aquarius-gulf-front-spa/","hipcbeach.com","No","12","5","open","Wednesday, 10?AM-7?PM; Thursday, 10?AM-7?PM; Friday, 10?AM-7?PM; Saturday, 10?AM-7?PM; Sunday, 10?AM-7?PM; Monday, 10?AM-7?PM; Tuesday, 10?AM-7?PM; ","Lat 30.1827978","Lng -85.8176428","862P55MJ+4W9","ChIJgdUrMACJk4gRpRUfZSI0SQE","https://www.google.com/maps/place/?q=place_id:ChIJgdUrMACJk4gRpRUfZSI0SQE","92662589667874213","https://www.google.com/search?kgmid=/g/11wths8w7z","https://lh5.googleusercontent.com/p/AF1QipOqBHi9eWYLnbEz20gVPcLkEJFYC92z9pIr7SZu","https://search.google.com/local/reviews?placeid=ChIJgdUrMACJk4gRpRUfZSI0SQE&q=wellness+spa+in+Lynn+Haven,+Florida,+USA&authuser=0&hl=en","https://www.facebook.com/hipcbeach","","","https://www.instagram.com/hipcbeach/","https://www.youtube.com/user/HolidayInnResort","Relax and rejuvenate at our Aquarius  Spa at The Holiday Inn Resort offering natural treatments, massages, facials, and more. Book your stay with us today!","/g/11wths8w7z"
"ChIJAzDNdkIGmogRgP4KxrnWBL8","Lifestyle & Performance Medicine","423 N Baylen St  Pensacola  FL 32501  United States","423 N Baylen St","Pensacola","32501","United States","Florida","US","America/Chicago","+18504718399","(850) 471-8399","","http://www.lifestyleperformancemedicine.com/","lifestyleperformancemedicine.com","No","2","3","open","Tuesday, 8?AM-5?PM; Wednesday, 8?AM-5?PM; Thursday, 8?AM-5?PM; Friday, Closed; Saturday, Closed; Sunday, Closed; Monday, 8?AM-5?PM; ","Lat 30.418074899999997","Lng -87.2183038","862JCQ9J+6MG","ChIJAzDNdkIGmogRgP4KxrnWBL8","https://www.google.com/maps/place/?q=place_id:ChIJAzDNdkIGmogRgP4KxrnWBL8","13764362454530981504","https://www.google.com/search?kgmid=/g/11cnzbc6kz","https://lh5.googleusercontent.com/p/AF1QipOJtURDs6RacUdZMRLZwXeKV0Rosh6vbYT5A67X","https://search.google.com/local/reviews?placeid=ChIJAzDNdkIGmogRgP4KxrnWBL8&q=Medical+spa+in+Pensacola,+Florida,+USA&authuser=0&hl=en","https://www.facebook.com/lifestyleperformancemedicine","","","https://www.instagram.com/lifestyle_performance_medicine/?hl=en","https://www.youtube.com/channel/UCQrbFXjYfnAep60SyR1Ek3A","","/g/11cnzbc6kz"
"ChIJh62B4Yu_kIgRQ4_Gayt6sFk","Deep Dermal Beauty","5007 N Davis Hwy Ste 10  Pensacola  FL 32503  United States","5007 N Davis Hwy Ste 10","Pensacola","32503","United States","Florida","US","America/Chicago","+18502320928","(850) 232-0928","","http://www.deepdermalbeauty.com/","deepdermalbeauty.com","No","10","4","open","Wednesday, 9?AM-6?PM; Thursday, 9?AM-7?PM; Friday, 9?AM-7?PM; Saturday, 9?AM-7?PM; Sunday, Closed; Monday, 9?AM-6?PM; Tuesday, 9?AM-6?PM; ","Lat 30.470302699999998","Lng -87.2265305","862JFQCF+49H","ChIJh62B4Yu_kIgRQ4_Gayt6sFk","https://www.google.com/maps/place/?q=place_id:ChIJh62B4Yu_kIgRQ4_Gayt6sFk","6462799792187019075","https://www.google.com/search?kgmid=/g/11cjnqfdrz","https://lh5.googleusercontent.com/p/AF1QipOgngMeJOF2WaT6C5WGxrZjQTyLoutmGG0L4cHn","https://search.google.com/local/reviews?placeid=ChIJh62B4Yu_kIgRQ4_Gayt6sFk&q=health+spa+in+Ensley,+Florida,+USA&authuser=0&hl=en","https://www.facebook.com/hardcoredermistherapy","","","","","","/g/11cjnqfdrz"
"ChIJVVWl1PS_kIgRhMU8Mmy9U24","Health Medical Aesthetics","5330 N Davis Hwy  Pensacola  FL 32503  United States","5330 N Davis Hwy","Pensacola","32503","United States","Florida","US","America/Chicago","+18506022879","(850) 602-2879","","https://returntohealthmedicalaesthetics.com/about-us/","returntohealthmedicalaesthetics.com","No","","","open","","Lat 30.4755261","Lng -87.22478029999999","862JFQGG+639","ChIJVVWl1PS_kIgRhMU8Mmy9U24","https://www.google.com/maps/place/?q=place_id:ChIJVVWl1PS_kIgRhMU8Mmy9U24","7949906039636018564","https://www.google.com/search?kgmid=/g/11s8ghyx9l","https://lh5.googleusercontent.com/p/y0JeTWtsEXMXs_ivS9y1UQ","","","","","","","","/g/11s8ghyx9l"
"ChIJq6r6sfi_kIgReAtwv1akyXc","Kara Hyman  APRN","6506 N Davis Hwy  Pensacola  FL 32504  United States","6506 N Davis Hwy","Pensacola","32504","United States","Florida","US","America/Chicago","+18504739190","(850) 473-9190","","http://www.drbawa.com/","drbawa.com","No","3","5","open","Tuesday, 9?AM-5?PM; Wednesday, 9?AM-5?PM; Thursday, 9?AM-5?PM; Friday, 9?AM-5?PM; Saturday, Closed; Sunday, Closed; Monday, 9?AM-5?PM; ","Lat 30.4922889","Lng -87.2226718","862JFQRG+WW8","ChIJq6r6sfi_kIgReAtwv1akyXc","https://www.google.com/maps/place/?q=place_id:ChIJq6r6sfi_kIgReAtwv1akyXc","8631610853318200184","https://www.google.com/search?kgmid=/g/11sh2b_3kc","https://lh5.googleusercontent.com/p/91mkkmndjbv43WT33gm5IA","https://search.google.com/local/reviews?placeid=ChIJq6r6sfi_kIgReAtwv1akyXc&q=Medical+spa+in+Pensacola,+Florida,+USA&authuser=0&hl=en","https://www.facebook.com/drbawaemeraldcoast/","https://www.linkedin.com/company/dr-bawa-&-associates","https://twitter.com/drbawa","https://www.instagram.com/doctorbawa/","https://www.youtube.com/user/doctorbawa/videos","","/g/11sh2b_3kc"
